event_id,timestamp,user_id,role,team,workstream_tag,tool,provider,model,request_type,input_tokens,output_tokens,estimated_cost_usd,remaining_pool_usd,cap_position_pct,warning_threshold,escalation_state,velocity_signal,value_signal,risk_signal,review_burden,recommended_posture,outcome_note
evt-c02-v2-011,2026-06-19T09:17:00-04:00,user_04,Project Leadership,Finance Planning,market-scan,chat,anthropic,local-summary,analysis,11069,1929,16.98,19182.3,36.0,caution,none,36,85,51,37,Controlled Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-012,2026-06-19T10:24:00-04:00,user_05,Engineering,Proposal Ops,project-risk,internal-copilot,azure-ai,balanced-general,summarization,32335,7809,14.5,23106.47,76.4,caution,manager-review,75,61,65,79,Budget-Aware Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-013,2026-06-19T11:31:00-04:00,user_06,Marketing,Platform,budget-analysis,internal-copilot,local,premium-reasoning,summarization,19131,2138,1.54,16464.16,25.7,hard-cap-risk,none,27,89,26,83,Controlled Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-014,2026-06-19T12:38:00-04:00,user_07,Marketing,Proposal Ops,proposal-review,document-assistant,azure-ai,balanced-general,analysis,12983,6537,9.07,21690.42,84.1,caution,budget-owner-review,22,47,39,9,Restricted,sample event for dashboard and velocity prioritization demo
evt-c02-v2-015,2026-06-19T13:45:00-04:00,user_08,Finance,Platform,proposal-review,document-assistant,anthropic,premium-reasoning,drafting,55327,756,11.02,21754.13,69.6,hard-cap-risk,budget-owner-review,35,78,68,69,Budget-Aware Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-016,2026-06-19T14:52:00-04:00,user_01,Operations,Finance Planning,client-report,document-assistant,azure-ai,premium-reasoning,code-review,61035,1598,11.05,24322.56,65.1,caution,budget-owner-review,60,22,41,56,Restricted,sample event for dashboard and velocity prioritization demo
evt-c02-v2-017,2026-06-19T15:59:00-04:00,user_02,Operations,Finance Planning,proposal-review,document-assistant,local,premium-reasoning,analysis,53952,1918,17.18,16872.82,39.8,normal,none,94,47,14,61,Budget-Aware Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-018,2026-06-19T16:06:00-04:00,user_03,Engineering,Platform,budget-analysis,internal-copilot,azure-ai,local-summary,summarization,59512,3514,11.62,11371.72,78.5,caution,none,87,68,67,55,Budget-Aware Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-019,2026-06-19T17:13:00-04:00,user_04,Operations,Data Insights,client-report,vscode-extension,anthropic,premium-reasoning,classification,62103,2057,13.17,7911.46,45.3,hard-cap-risk,none,42,35,86,33,Requires Review,sample event for dashboard and velocity prioritization demo
evt-c02-v2-020,2026-06-19T08:20:00-04:00,user_05,Engineering,Platform,market-scan,internal-copilot,anthropic,premium-reasoning,code-review,30140,8992,14.69,16780.99,77.1,warning,budget-owner-review,73,86,71,60,Budget-Aware Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-021,2026-06-19T09:27:00-04:00,user_06,Marketing,Finance Planning,project-risk,chat,local,balanced-general,drafting,4232,4398,13.47,17374.2,31.6,normal,notify-user,58,30,17,26,Restricted,sample event for dashboard and velocity prioritization demo
evt-c02-v2-022,2026-06-19T10:34:00-04:00,user_07,Engineering,Client Delivery,proposal-review,document-assistant,anthropic,balanced-general,summarization,23768,2194,17.2,15215.38,45.6,warning,manager-review,80,27,84,49,Requires Review,sample event for dashboard and velocity prioritization demo
evt-c02-v2-023,2026-06-19T11:41:00-04:00,user_08,Engineering,Data Insights,client-report,vscode-extension,azure-ai,balanced-general,summarization,18970,6935,9.04,6391.2,30.1,warning,none,41,48,69,59,Requires Review,sample event for dashboard and velocity prioritization demo
evt-c02-v2-024,2026-06-19T12:48:00-04:00,user_01,Project Leadership,Client Delivery,budget-analysis,chat,azure-ai,premium-reasoning,code-review,28659,5783,9.61,18596.85,84.1,warning,none,90,86,90,61,Requires Review,sample event for dashboard and velocity prioritization demo
evt-c02-v2-025,2026-06-19T13:55:00-04:00,user_02,Project Leadership,Proposal Ops,budget-analysis,document-assistant,anthropic,premium-reasoning,summarization,60170,5922,11.73,24256.55,90.9,warning,budget-owner-review,86,35,76,47,Requires Review,sample event for dashboard and velocity prioritization demo
evt-c02-v2-026,2026-06-19T14:02:00-04:00,user_03,Engineering,Proposal Ops,budget-analysis,document-assistant,local,premium-reasoning,classification,7881,6472,14.3,16610.96,61.6,warning,notify-user,21,70,67,42,Budget-Aware Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-027,2026-06-19T15:09:00-04:00,user_04,Marketing,Proposal Ops,project-risk,document-assistant,local,local-summary,classification,38697,4990,10.28,11878.58,68.8,hard-cap-risk,manager-review,39,80,54,74,Controlled Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-028,2026-06-19T16:16:00-04:00,user_05,Operations,Client Delivery,budget-analysis,document-assistant,local,balanced-general,summarization,49091,6276,17.72,7427.46,38.5,hard-cap-risk,notify-user,92,74,19,72,Controlled Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-029,2026-06-19T17:23:00-04:00,user_06,Marketing,Finance Planning,client-report,chat,local,balanced-general,code-review,50755,2143,15.05,5250.69,59.7,normal,none,30,20,31,64,Restricted,sample event for dashboard and velocity prioritization demo
evt-c02-v2-030,2026-06-19T08:30:00-04:00,user_07,Engineering,Finance Planning,market-scan,vscode-extension,azure-ai,balanced-general,drafting,68447,6288,2.84,8555.85,68.0,caution,manager-review,62,78,24,21,Controlled Acceleration,sample event for dashboard and velocity prioritization demo
